@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Country,Indicator,Subject,Measure,Frequency
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-01,1980-01-01,98.69131,98.69131,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-02,1980-02-01,98.45915,98.45915,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-03,1980-03-01,98.12173,98.12173,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-04,1980-04-01,97.90646,97.90646,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-05,1980-05-01,97.89881,97.89881,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-06,1980-06-01,98.0778,98.0778,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-07,1980-07-01,98.34493,98.34493,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-08,1980-08-01,98.6726,98.6726,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-09,1980-09-01,98.9342,98.9342,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,G-20.CCI.AMPLITUD.LTRENDIDX.M,G20 (G-20) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1980-10,1980-10-01,99.01567,99.01567,G-20,CCI,AMPLITUD,LTRENDIDX,M,G20,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
