@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Country,Indicator,Subject,Measure,Frequency
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-01,1990-01-01,98.79628,98.79628,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-02,1990-02-01,98.85135,98.85135,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-03,1990-03-01,98.93368,98.93368,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-04,1990-04-01,99.04273,99.04273,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-05,1990-05-01,99.14535,99.14535,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-06,1990-06-01,99.18289,99.18289,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-07,1990-07-01,99.12366,99.12366,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-08,1990-08-01,99.00285,99.00285,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-09,1990-09-01,98.90423,98.90423,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-10,1990-10-01,98.92599,98.92599,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-11,1990-11-01,99.12443,99.12443,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1990-12,1990-12-01,99.4921,99.4921,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
