@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Country,Indicator,Subject,Measure,Frequency
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-01,1974-01-01,99.05112,99.05112,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-02,1974-02-01,98.99879,98.99879,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-03,1974-03-01,99.12843,99.12843,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-04,1974-04-01,99.26708,99.26708,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-05,1974-05-01,99.2447,99.2447,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-06,1974-06-01,99.07559,99.07559,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-07,1974-07-01,98.83934,98.83934,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-08,1974-08-01,98.60816,98.60816,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-09,1974-09-01,98.40029,98.40029,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-10,1974-10-01,98.23678,98.23678,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-11,1974-11-01,98.16373,98.16373,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1974-12,1974-12-01,98.18565,98.18565,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-01,1975-01-01,98.33314,98.33314,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-02,1975-02-01,98.59214,98.59214,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-03,1975-03-01,98.89135,98.89135,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-04,1975-04-01,99.16035,99.16035,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-05,1975-05-01,99.33838,99.33838,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-06,1975-06-01,99.44772,99.44772,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-07,1975-07-01,99.53314,99.53314,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-08,1975-08-01,99.59035,99.59035,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-09,1975-09-01,99.65746,99.65746,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-10,1975-10-01,99.80559,99.80559,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-11,1975-11-01,100.081,100.081,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1975-12,1975-12-01,100.4322,100.4322,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,OECD.CCI.AMPLITUD.LTRENDIDX.M,OECD - Total – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1976-01,1976-01-01,100.7479,100.7479,OECD,CCI,AMPLITUD,LTRENDIDX,M,OECD - Total,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
