@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Country,Indicator,Subject,Measure,Frequency
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-01,1960-01-01,101.6419,101.6419,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-02,1960-02-01,101.3761,101.3761,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-03,1960-03-01,101.1466,101.1466,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-04,1960-04-01,101.0199,101.0199,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-05,1960-05-01,101.0519,101.0519,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-06,1960-06-01,101.1424,101.1424,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-07,1960-07-01,101.1615,101.1615,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-08,1960-08-01,101.0169,101.0169,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-09,1960-09-01,100.7928,100.7928,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,USA.CCI.AMPLITUD.LTRENDIDX.M,United States – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,1960-10,1960-10-01,100.6067,100.6067,USA,CCI,AMPLITUD,LTRENDIDX,M,United States,Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
